,name,year,max_wind,name_year,hurricane_id,date,time,status,latitude,longitude,air_pressure,latitude_decimal,longitude_decimal
369,Felice,1970,60,Felice_1970,177,19700912,0,TD,25.5N,77.5W,-999,25.08,-77.08
481,Greta,1970,45,Greta_1970,178,19700926,1200,TS,22.4N,75.4W,1010,22.07,-75.07
58,Arlene,1971,55,Arlene_1971,179,19710704,1200,TD,33.5N,75.5W,-999,33.08,-75.08
108,Beth,1971,75,Beth_1971,180,19710810,1200,TD,26.7N,79.9W,-999,26.12,-79.15
179,Chloe,1971,55,Chloe_1971,181,19710818,1200,TD,13.0N,52.5W,1007,13.0,-52.08
279,Doria,1971,55,Doria_1971,182,19710820,1200,TD,11.5N,47.0W,-999,11.08,-47.0
375,Fern,1971,80,Fern_1971,183,19710903,1200,TD,27.5N,87.5W,-999,27.08,-87.08
301,Edith,1971,140,Edith_1971,184,19710905,1800,TD,11.4N,58.0W,1010,11.07,-58.0
458,Ginger,1971,95,Ginger_1971,185,19710906,0,TD,25.5N,71.5W,-999,25.08,-71.08
504,Heidi,1971,55,Heidi_1971,186,19710911,0,TD,27.1N,72.0W,-999,27.02,-72.0
552,Irene,1971,70,Irene_1971,187,19710911,1800,TD,11.0N,48.5W,1009,11.0,-48.08
581,Janice,1971,55,Janice_1971,188,19710921,600,TD,11.5N,38.8W,-999,11.08,-38.13
646,Kristy,1971,45,Kristy_1971,189,19711018,0,TD,25.0N,58.5W,-999,25.0,-58.08
651,Laura,1971,60,Laura_1971,190,19711112,1200,TD,12.0N,78.5W,-999,12.0,-78.08
33,Alpha,1972,60,Alpha_1972,191,19720523,1800,SD,31.2N,78.2W,1004,31.03,-78.03
6,Agnes,1972,75,Agnes_1972,192,19720614,1200,TD,20.0N,89.0W,-999,20.0,-89.0
112,Betty,1972,90,Betty_1972,193,19720822,1200,SD,36.5N,64.0W,-999,36.08,-64.0
155,Carrie,1972,60,Carrie_1972,194,19720829,1200,TD,29.0N,78.5W,1012,29.0,-78.08
231,Dawn,1972,70,Dawn_1972,195,19720905,0,TD,23.8N,79.4W,-999,23.13,-79.07
177,Charlie,1972,60,Charlie_1972,196,19720919,1200,SD,37.5N,59.5W,-999,37.08,-59.08
252,Delta,1972,40,Delta_1972,197,19721101,1800,SD,35.0N,47.5W,1013,35.0,-47.08
