,hurricane_id,date,name,time,status,latitude,longitude,max_wind,air_pressure,latitude_decimal,longitude_decimal,year
185,186,19710911,Heidi,0,TD,27.1N,72.0W,30,-999,27.02,-72.0,1971
186,187,19710911,Irene,1800,TD,11.0N,48.5W,25,1009,11.0,-48.08,1971
187,188,19710921,Janice,600,TD,11.5N,38.8W,25,-999,11.08,-38.13,1971
188,189,19711018,Kristy,0,TD,25.0N,58.5W,25,-999,25.0,-58.08,1971
189,190,19711112,Laura,1200,TD,12.0N,78.5W,25,-999,12.0,-78.08,1971
190,191,19720523,Alpha,1800,SD,31.2N,78.2W,25,1004,31.03,-78.03,1972
191,192,19720614,Agnes,1200,TD,20.0N,89.0W,25,-999,20.0,-89.0,1972
192,193,19720822,Betty,1200,SD,36.5N,64.0W,30,-999,36.08,-64.0,1972
193,194,19720829,Carrie,1200,TD,29.0N,78.5W,30,1012,29.0,-78.08,1972
194,195,19720905,Dawn,0,TD,23.8N,79.4W,30,-999,23.13,-79.07,1972
195,196,19720919,Charlie,1200,SD,37.5N,59.5W,25,-999,37.08,-59.08,1972
196,197,19721101,Delta,1800,SD,35.0N,47.5W,25,1013,35.0,-47.08,1972
197,198,19730701,Alice,1800,TD,26.0N,67.8W,30,1006,26.0,-67.13,1973
198,199,19730730,Alfa,1200,SD,32.6N,74.1W,25,1013,32.1,-74.02,1973
199,200,19730818,Brenda,600,TD,20.5N,83.7W,30,-999,20.08,-83.12,1973
200,201,19730825,Christine,1200,TD,11.0N,14.0W,30,-999,11.0,-14.0,1973
201,202,19730901,Delia,1800,TD,20.5N,86.5W,30,1008,20.08,-86.08,1973
202,203,19730914,Ellen,1200,TD,10.5N,22.4W,30,-999,10.08,-22.07,1973
203,204,19731008,Fran,1800,SD,30.0N,65.8W,30,1008,30.0,-65.13,1973
204,205,19731016,Gilda,600,TD,16.3N,82.0W,30,1008,16.05,-82.0,1973
205,206,19740812,Alma,1200,TD,10.5N,43.0W,25,1010,10.08,-43.0,1974
206,207,19740826,Becky,1200,TD,27.0N,69.0W,25,-999,27.0,-69.0,1974
207,208,19740829,Carmen,600,TD,16.8N,55.8W,30,1011,16.13,-55.13,1974
208,209,19740902,Dolly,1800,TD,27.2N,67.9W,30,-999,27.03,-67.15,1974
209,210,19740904,Elaine,1800,TD,14.7N,50.5W,25,-999,14.12,-50.08,1974
210,211,19740914,Fifi,1200,TD,15.3N,65.0W,30,-999,15.05,-65.0,1974
211,212,19740927,Gertrude,1200,TD,10.7N,45.1W,30,-999,10.12,-45.02,1974
212,213,19750627,Amy,0,TD,27.5N,79.0W,25,1013,27.08,-79.0,1975
